No,Style,Type,Best For,Do Not Use For,Keywords,Effects,Implementation Checklist,Design System Variables
1,Minimalism & Swiss Style,General,"Enterprise apps, dashboards, docs","Creative portfolios, entertainment","Clean, simple, spacious, white space, high contrast, geometric","Subtle hover 200-250ms, sharp shadows, clear type hierarchy","Grid-based layout 12-16 columns, Typography hierarchy clear, No decorations, WCAG AAA contrast","--spacing: 2rem, --border-radius: 0px, --shadow: none, --accent: single primary"
2,Neumorphism,General,"Health/wellness, meditation, fitness","Complex apps, critical accessibility","Soft UI, embossed, debossed, rounded 12-16px, monochromatic","Soft box-shadow multiple layers, smooth press 150ms","Rounded corners 12-16px, Multiple shadow layers, Pastel colors, Press animation 150ms","--border-radius: 14px, --shadow-soft: -5px -5px 15px, 5px 5px 15px"
3,Glassmorphism,General,"Modern SaaS, financial dashboards, overlays","Low-contrast backgrounds, critical accessibility","Frosted glass, transparent, blurred background, layered","Backdrop blur 10-20px, subtle border, light reflection","Backdrop-filter blur, Translucent white 15-30%, Border 1px light, Text contrast 4.5:1","--blur: 15px, --glass-opacity: 0.15, --border: rgba(255,255,255,0.2)"
4,Brutalism,General,"Design portfolios, artistic, counter-culture","Corporate, conservative industries","Raw, unpolished, stark, high contrast, visible borders","No transitions instant, sharp corners, bold typography 700+","No border-radius 0px, No transitions, Bold typography 700+, Pure primary colors","--border-radius: 0px, --transition: 0s, --font-weight: 700-900"
5,3D & Hyperrealism,General,"Gaming, product showcase, immersive","Low-end mobile, performance-limited","Depth, realistic textures, 3D models, spatial","WebGL Three.js, realistic shadows, physics lighting, parallax 3-5 layers","WebGL/Three.js, Parallax 3-5 layers, Realistic lighting, Physics animation 300-400ms","--perspective: 1000px, --parallax-layers: 5, --animation: 300-400ms"
6,Vibrant & Block-based,General,"Startups, creative agencies, gaming","Financial, healthcare, conservative","Bold, energetic, playful, block layout, geometric, duotone","Large sections 48px+ gaps, animated patterns, scroll-snap","Block layout 48px+ gaps, Typography 32px+, 4-6 vibrant colors, Animated patterns","--block-gap: 48px, --typography: 32px+, --contrast: 7:1+"
7,Dark Mode OLED,General,"Night-mode, coding, entertainment","Print-first, outdoor brightness","Dark theme, deep black, midnight blue, OLED","Minimal glow, dark-to-light transitions, high readability","Deep black #000 or #121212, Vibrant neon accents, Text contrast 7:1+, OLED optimized","--bg: #000000, --text: #FFFFFF, --accent: neon colors"
8,Accessible & Ethical,General,"Government, healthcare, education","None - universal","High contrast 7:1+, large text 16px+, WCAG AAA","Clear focus rings 3-4px, ARIA labels, skip links","WCAG AAA verified, 7:1+ contrast, Keyboard nav, Screen reader tested, Touch 44x44px","--contrast: 7:1, --font-min: 16px, --focus-ring: 3-4px, --wcag: AAA"
9,Claymorphism,General,"Educational, children's apps, SaaS","Formal corporate, data-critical","Soft 3D, chunky, playful, bubbly, rounded 16-24px, thick borders","Inner+outer shadows, soft press 200ms, fluffy elements","Border-radius 16-24px, Thick borders 3-4px, Double shadows, Pastel colors","--border-radius: 20px, --border-width: 3-4px, --shadow: inner+outer"
10,Aurora UI,General,"Modern SaaS, creative agencies, music","Data-heavy dashboards, critical a11y","Vibrant gradients, Northern Lights, mesh gradient, luminous","Large flowing CSS/SVG gradients, subtle 8-12s animations","Mesh/flowing gradients, 8-12s animation loop, Complementary colors, Iridescent effect","--gradient: complementary pairs, --animation: 8-12s, --blend: screen"
11,Retro-Futurism,General,"Gaming, entertainment, music","Conservative, professional, elderly","80s aesthetic, neon glow, CRT scanlines, cyberpunk, synthwave","CRT scanlines, neon glow text-shadow+box-shadow, glitch effects","Neon colors, CRT scanlines, Glitch animations, Monospace font, Deep black bg","--neon: #0080FF #FF006E #00FFFF, --bg: #000, --font: monospace"
12,Flat Design,General,"Web apps, mobile apps, MVPs","Complex 3D, premium luxury","2D, bold colors, no shadows, clean lines, simple shapes","No gradients/shadows, simple hover color/opacity shift, 150-200ms","No shadows/gradients, 4-6 solid colors, Clean lines, Simple shapes, Fast loading","--shadow: none, --colors: 4-6 solid, --border-radius: 2px"
13,Skeuomorphism,General,"Legacy apps, gaming, premium products","Modern enterprise, low-performance","Realistic, texture, depth, 3D, real-world metaphors","Realistic shadows layers, depth perspective, texture details, 300-500ms","Realistic textures, Complex gradients 8-12 stops, Multi-layer shadows, Tactile animations","--gradient: 8-12 stops, --texture: noise+grain, --animation: 300-500ms"
14,Liquid Glass,General,"Premium SaaS, high-end e-commerce","Performance-limited, critical a11y","Flowing glass, morphing, fluid effects, iridescent, chromatic aberration","Morphing SVG/CSS, fluid animations 400-600ms, dynamic blur","Morphing 400-600ms, Chromatic aberration, Dynamic blur, Iridescent gradients","--morph: 400-600ms, --blur: 15px, --chromatic: true"
15,Motion-Driven,General,"Portfolio sites, storytelling","Data dashboards, motion-sensitive","Animation-heavy, microinteractions, scroll effects, parallax","Scroll anim Intersection Observer, hover 300-400ms, parallax 3-5 layers","Scroll animations, Parallax 3-5 layers, Entrance animations, GPU accelerated","--animation: 300-400ms, --parallax: 5, --gpu: true"
16,Micro-interactions,General,"Mobile apps, touchscreen UIs, productivity","Desktop-only, a11y-first","Small animations, gesture-based, tactile feedback","Small hover 50-100ms, loading spinners, success/error states","Micro-animations 50-100ms, Gesture-responsive, Loading spinners, State feedback","--micro-duration: 50-100ms, --gesture: true, --haptic: enabled"
17,Inclusive Design,General,"Public services, education, healthcare","None - universal","Accessible, color-blind friendly, high contrast, WCAG AAA","Haptic feedback, voice guidance, focus indicators 4px+","WCAG AAA, 7:1+ contrast, Keyboard accessible, Screen reader tested","--contrast: 7:1, --font: 16px+, --focus: 3-4px, --wcag: AAA"
