No,Priority,Category,Rule,Description,Standard,Anti-Pattern,Impact
1,CRITICAL,Accessibility,color-contrast,Minimum 4.5:1 ratio for normal text (large text 3:1),WCAG 2.1 AA,Gray-on-gray text below 4.5:1,Users cannot read content
2,CRITICAL,Accessibility,focus-states,Visible focus rings on interactive elements 2-4px,Apple HIG Material Design,Removing outline:none without replacement,Keyboard users cannot navigate
3,CRITICAL,Accessibility,alt-text,Descriptive alt text for meaningful images,WCAG 2.1,Missing alt on informative images,Screen reader users miss content
4,CRITICAL,Accessibility,aria-labels,aria-label for icon-only buttons,Apple HIG,Icon buttons without labels,Assistive tech cannot identify buttons
5,CRITICAL,Accessibility,keyboard-nav,Tab order matches visual order full keyboard support,Apple HIG,Non-focusable interactive elements,Keyboard users blocked
6,CRITICAL,Accessibility,form-labels,Use label with for attribute,WCAG 2.1,Placeholder-only labels,Labels disappear on focus
7,CRITICAL,Accessibility,skip-links,Skip to main content for keyboard users,WCAG 2.1,No skip navigation,Tab through entire nav every page
8,CRITICAL,Accessibility,heading-hierarchy,Sequential h1-h6 no level skip,WCAG 2.1,Skipping heading levels,Screen reader navigation broken
9,CRITICAL,Accessibility,color-not-only,Don't convey info by color alone,WCAG 2.1,Red/green only for error/success,Colorblind users miss meaning
10,CRITICAL,Accessibility,reduced-motion,Respect prefers-reduced-motion media query,Apple Reduced Motion API,Animations ignoring reduced motion,Vestibular disorders triggered
11,CRITICAL,Accessibility,voiceover-sr,Meaningful accessibilityLabel and logical reading order,Apple HIG,Unlabeled controls confusing traversal,Screen reader experience broken
12,CRITICAL,Accessibility,dynamic-type,Support system text scaling without truncation,Apple Dynamic Type,Fixed height containers clipping text,Users with large text cannot read
13,CRITICAL,Touch,touch-target-size,Min 44x44pt (Apple) / 48x48dp (Material),Apple HIG Material Design,Small icons without expanded tap area,Users cannot tap accurately
14,CRITICAL,Touch,touch-spacing,Minimum 8px gap between touch targets,Apple HIG Material Design,Buttons touching each other,Accidental taps on wrong element
15,CRITICAL,Touch,hover-vs-tap,Use click/tap for primary interactions not hover alone,Material Design,Relying on hover for essential features,Mobile users cannot access feature
16,CRITICAL,Touch,loading-buttons,Disable button during async operations show spinner,Material Design,Clickable button during submission,Double submissions confusion
17,CRITICAL,Touch,error-feedback,Clear error messages near problem,Material Design,Generic error at page top,Users don't know what's wrong
18,CRITICAL,Touch,cursor-pointer,Add cursor-pointer to clickable elements,Web convention,Clickable elements with default cursor,No visual affordance for click
19,HIGH,Performance,image-optimization,Use WebP/AVIF responsive images lazy load,Core Web Vitals,Unoptimized PNG/JPEG hero images,Slow LCP poor mobile experience
20,HIGH,Performance,image-dimension,Declare width/height or aspect-ratio to prevent CLS,Core Web Vitals,Images without dimensions,Layout shift during load
21,HIGH,Performance,font-loading,Use font-display swap to avoid FOIT,Material Design,font-display:block causing invisible text,Flash of invisible text
22,HIGH,Performance,critical-css,Prioritize above-the-fold CSS,Web performance,Render-blocking full stylesheet,Slow first paint
23,HIGH,Performance,lazy-loading,Lazy load non-hero components via dynamic import,Web performance,Loading all components eagerly,Slow initial page load
24,HIGH,Performance,virtualize-lists,Virtualize lists with 50+ items,Web performance,Rendering 1000 DOM nodes in list,Memory issues janky scroll
25,HIGH,Performance,main-thread-budget,Keep per-frame work under 16ms for 60fps,Apple HIG,Long JS blocking main thread,Janky animations delayed input
26,HIGH,Performance,progressive-loading,Use skeleton screens for >1s operations,Apple HIG,Blocking spinners for long loads,Poor perceived performance
27,HIGH,Performance,input-latency,Keep input latency under 100ms,Material Design,Delayed response to taps,App feels sluggish
28,HIGH,Performance,debounce-throttle,Debounce/throttle scroll resize input events,Web performance,Unthrottled scroll handlers,Janky scroll performance
29,HIGH,Style,style-match,Match style to product type,Design principles,Mixing flat and skeuomorphic randomly,Visual inconsistency
30,HIGH,Style,consistency,Use same style across all pages,Design principles,Different styles per page,Unprofessional fragmented feel
31,HIGH,Style,no-emoji-icons,Use SVG icons not emojis,Design principles,Emojis as navigation icons,Inconsistent cross-platform rendering
32,HIGH,Style,color-palette-from-product,Choose palette from product/industry,Design principles,Random color selection,Colors don't match brand/industry
33,HIGH,Style,effects-match-style,Shadows blur radius aligned with chosen style,Glassmorphism Neumorphism,Hard shadows on soft UI,Style inconsistency
34,HIGH,Style,platform-adaptive,Respect platform idioms iOS HIG vs Material,Apple HIG Material Design,iOS app using Material patterns,Users confused by foreign patterns
35,HIGH,Style,state-clarity,Make hover/pressed/disabled visually distinct,Material Design,States that look identical,Users don't know what's interactive
36,HIGH,Style,elevation-consistent,Consistent elevation/shadow scale,Material Design,Random shadow values,Inconsistent depth hierarchy
37,HIGH,Style,dark-mode-pairing,Design light/dark variants together,Design principles,Only designing light mode,Dark mode as afterthought
38,HIGH,Style,icon-style-consistent,One icon set/visual language,Design principles,Mixing icon styles,Visual inconsistency
